pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
42.6,47.6,45.0,top,R32,CRCW040210K0FKEDC,,R_0402_1005Metric,10K,smt
47.8,17.2,-90.0,top,R33,TNPW040225K5BEED,,R_0402_1005Metric,25K5,smt
37.9,49.3,180.0,top,R34,CRCW04023K90FKED,,R_0402_1005Metric,3K9,smt
38.7,46.3,-90.0,top,R35,CRCW04023K90FKED,,R_0402_1005Metric,3K9,smt
29.0,11.25,-90.0,top,R4,CRCW04026K34FKEDC,,R_0402_1005Metric,6K34,smt
23.0,10.25,-90.0,top,R5,CRCW04024R70FNED,,R_0402_1005Metric,4R7,smt
25.75,10.23,90.0,top,R6,TNPW040256K2BEED,,R_0402_1005Metric,56K2,smt
26.25,8.73,0.0,top,R7,TNPW04021K00BEED,,R_0402_1005Metric,1K,smt
27.75,10.23,90.0,top,R8,TNPW040213K7BEED,,R_0402_1005Metric,13K7,smt
31.0,11.25,-90.0,top,R9,RCC04027K50FKED,,R_0402_1005Metric,7K5,smt
24.75,14.0,90.0,top,U1,LM64440APPQRYFRQ1,,[U] TI LM63460 Sw Volt Reg,LM64440APPQRYFRQ1,smt
61.7,31.6,-45.0,top,U10,USBLC6-2P6,,[U] ST Micro USB ESD Protection USBLC6-2P6,USBLC6-2P6,smt
60.5,44.6,-45.0,top,U11,USBLC6-2P6,,[U] ST Micro USB ESD Protection USBLC6-2P6,USBLC6-2P6,smt
58.0,47.0,-45.0,top,U12,USBLC6-2P6,,[U] ST Micro USB ESD Protection USBLC6-2P6,USBLC6-2P6,smt
35.034998,22.575003,180.0,top,U2,TLV75511PDQNR,,[U] TI LDO Regulator TLV755 DQN,TLV75511PDQNR,smt
35.0,16.400006,180.0,top,U3,TLV75533PDQNR,,[U] TI LDO Regulator TLV755 DQN,TLV75533PDQNR,smt
48.0,37.0,-45.0,top,U4,TUSB4041IPAPR,,[U] Texas Inst USB 2.0 Hub Controller TUSB4041I QFP50P1200X1200X120-65N,TUSB4041IPAPR,smt
64.4,17.4,90.0,top,U5,TPS2561DRCR,,[U] TI USB Power Ctlr TPS2561DRCR,TPS2561DRCR,smt
45.1,16.2,90.0,top,U6,TPS2561DRCR,,[U] TI USB Power Ctlr TPS2561DRCR,TPS2561DRCR,smt
36.0,47.5,0.0,top,U7,CAT24C32HU4I-GT3,,[U] OnSemi Serial EEPROM 4KB CAT24C32HU4I-GT3,CAT24C32HU4I-GT3,smt
60.6,9.0,-90.0,top,U8,USBLC6-2P6,,[U] ST Micro USB ESD Protection USBLC6-2P6,USBLC6-2P6,smt
60.5,28.0,-90.0,top,U9,USBLC6-2P6,,[U] ST Micro USB ESD Protection USBLC6-2P6,USBLC6-2P6,smt
45.5,24.9,135.0,top,Y1,ECS-2520MV-240-BL-TR,,[Y] ECS Clock Osc 24MHz ECS2520MV240BLTR,ECS-2520MV-240-BL-TR,smt
