Reference,Qty,Value,DNP,Exclude from BOM,Footprint,Datasheet,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Spec,Description
"R28,R33",2,25K5,,,Resistor_SMD:R_0402_1005Metric,https://www.vishay.com/docs/28758/tnpw_e3.pdf,0.4,Vishay,TNPW040225K5BEED,71-TNPW040225K5BEED,https://www.mouser.com/ProductDetail/Vishay-Dale/TNPW040225K5BEED?qs=wTZ%2FFzl837ZLdDCLi1n5vA%3D%3D,25K5 130mW,Current Limit Resistor
"R34,R35",2,3K9,,,Resistor_SMD:R_0402_1005Metric,https://www.vishay.com/docs/28773/crcwce3.pdf,0.35,Vishay,CRCW04023K90FKED,71-CRCW04023K90FKED,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04023K90FKED?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGuyo%252BK4jDpZoU%3D,3K9 63mW,I2C Pull Up Resistor
U1,1,LM64440APPQRYFRQ1,,,DW_Semiconductors:[U] TI LM63460 Sw Volt Reg,https://www.ti.com/lit/ds/symlink/lm64440-q1.pdf?ts=1744413173548&ref_url=https%253A%252F%252Fwww.mouser.com%252F,1.05,Texas Instruments,LM64440APPQRYFRQ1,595-LM64440APPQRYRQ1,https://www.mouser.com/ProductDetail/Texas-Instruments/LM64440APPQRYFRQ1?qs=iLKYxzqNS76Y4Mk8QuxuqQ%3D%3D,4A 2.1MHz,Switching Voltage Regulators Automotive 3V to 36 V 4A low-EMI synchronous
U2,1,TLV75511PDQNR,,,DW_Semiconductors:[U] TI LDO Regulator TLV755 DQN,https://www.ti.com/lit/gpn/tlv755p,0.4,Texas Instruments,TLV75511PDQNR,595-TLV75511PDQNR,https://www.mouser.com/ProductDetail/Texas-Instruments/TLV75511PDQNR?qs=w%2Fv1CP2dgqp0zobivtVyXQ%3D%3D,0.5A 1.1V Output LDO,LDO Voltage Regulators 500-mA high-PSRR low -IQ low-dropout
U3,1,TLV75533PDQNR,,,DW_Semiconductors:[U] TI LDO Regulator TLV755 DQN,https://www.ti.com/lit/gpn/tlv755p,0.4,Texas Instruments,TLV75533PDQNR,595-TLV75533PDQNR,https://www.mouser.com/ProductDetail/Texas-Instruments/TLV75533PDQNR?qs=55YtniHzbhD4SvMoS6ilhA%3D%3D,0.5A 3.3V Output LDO,LDO Voltage Regulators 500-mA high-PSRR low -IQ low-dropout
U4,1,TUSB4041IPAPR,,,DW_Semiconductors:[U] Texas Inst USB 2.0 Hub Controller TUSB4041I QFP50P1200X1200X120-65N,http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TUSB4041I&&fileType=pdf,1.2,Texas Instruments,TUSB4041IPAPR,595-TUSB4041IPAPR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TUSB4041IPAPR?qs=UPLqB4C8V4FMJLHct9f9fw%3D%3D,TUSB4041IPAPR,"TEXAS INSTRUMENTS - TUSB4041IPAPR - USB 2.0 HUB, 480MBPS, HTQFP-64"
"U5,U6",2,TPS2561DRCR,,,DW_Semiconductors:[U] TI USB Power Ctlr TPS2561DRCR,https://www.ti.com/lit/gpn/TPS2561,1,Texas Instruments,TPS2561DRCR,595-TPS2561DRCR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS2561DRCR?qs=%2Fqzd9s%252BcLd7rIDSRKlRjAw%3D%3D,TPS2561DRCR,Power Switch ICs - Power Distribution Dual Ch Prec Adj Current-Ltd Pwr Sw
U7,1,CAT24C32HU4I-GT3,,,DW_Semiconductors:[U] OnSemi Serial EEPROM 4KB CAT24C32HU4I-GT3,https://www.onsemi.com/download/data-sheet/pdf/cat24c32-d.pdf,0.55,OnSemi,CAT24C32HU4I-GT3,863-CAT24C32HU4I-GT3,https://www.mouser.com/ProductDetail/onsemi/CAT24C32HU4I-GT3?qs=2mdvTlUeTfA3f6AaECTBOg%3D%3D,CAT24C32HU4I-GT3,"Supports Standard, Fast and Fast-Plus I2C Protocol; 1.7 V to 5.5 V Supply Voltage Range; 32-Byte Page Write Buffer; Hardware Write Protection for entire memory; Schmitt Triggers and Noise Suppression Filters on IC Bus Inputs (SCL and SDA); Low power CMOS technology; 1,000,000 program/erase cycles; 100 year data retention; 8-lead SOIC and TSSOP, WLCSP 4 and 5-ball and 8-pad UDFN packages; Industrial temperature range; This Device is PbFree, Halogen Free/BFR Free, and RoHS Compliant"
"U8,U9,U10,U11,U12",5,USBLC6-2P6,,,DW_Semiconductors:[U] ST Micro USB ESD Protection USBLC6-2P6,https://www.mouser.com/datasheet/2/389/usblc6_2-1852789.pdf,0.6,STMicroelectronics,USBLC6-2P6,511-USBLC6-2P6,https://www.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2P6?qs=6ARB0lp6jlViGcbUSvj1Mw%3D%3D,USBLC6-2P6,ESD Suppressors / TVS Diodes High Speed Interface Protection Low Cap
Y1,1,ECS-2520MV-240-BL-TR,,,DW_Semiconductors:[Y] ECS Clock Osc 24MHz ECS2520MV240BLTR,https://ecsxtal.com/store/pdf/ECS-2520MV.pdf,0.9,ECS,ECS-2520MV-240-BL-TR,520-2520MV-240-BL-TR,https://www.mouser.com/ProductDetail/ECS/ECS-2520MV-240-BL-TR?qs=DRkmTr78QAT9UStHJvO4kg%3D%3D,ECS-2520MV-240-BL-TR,Standard Clock Oscillators 24.000 MHz Multi-Volt 1.6 3.6V +/-50 ppm -10 +70 C 4-SMD 2.5x2.0mm RoHS
